spotify_id,name,artists,album,genres,popularity,duration_ms,release_date,preview_url,track_url,explicit,album_image_url,isrc
290wOS83oFM7ZAzMtYEMyC,Raining in My Heart,Sleepy LaBeef,Rockabilly 1977,boogie-woogie; psychobilly; rock and roll; rockabilly,3,125386,1977-01-01,,https://open.spotify.com/track/290wOS83oFM7ZAzMtYEMyC,False,https://i.scdn.co/image/ab67616d0000b27305464336e92d4eeec04d5345,USSE60471532
0XuGHJBHIWTZIhLX9hvVG3,It Ain't Sanitary,Sleepy LaBeef,The Bull's Night Out,boogie-woogie; psychobilly; rock and roll; rockabilly,2,161609,1972-01-01,,https://open.spotify.com/track/0XuGHJBHIWTZIhLX9hvVG3,False,https://i.scdn.co/image/ab67616d0000b27371cf483ee62993e809d8762e,USSE60471656
70IUWsl6v4II26gg2iBeOi,Ik Wil Dansen,Froukje,Ik Wil Dansen,nederpop,51,194526,2020-05-22,,https://open.spotify.com/track/70IUWsl6v4II26gg2iBeOi,False,https://i.scdn.co/image/ab67616d0000b273a0b4ebc72fbefc640bb93972,QZES92009871
5U9iJk3ONTlZCSJrokOP1i,Soldier On,DI-RECT,Wild Hearts,nederpop,52,207853,2020-10-09,,https://open.spotify.com/track/5U9iJk3ONTlZCSJrokOP1i,False,https://i.scdn.co/image/ab67616d0000b273c52d51093cc802a4f96f6908,NLZ291900455
1OJcaSbK9DBaxHExACplwA,Uncharted,Kensington,Time,nederpop,54,241480,2019-11-15,,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA,False,https://i.scdn.co/image/ab67616d0000b273c6509c5ec351db3601e2d929,NLUB41900077
3hhMPilIUynOxLLVKYCu9N,Rocking Met M`n Walkman,Bianca,Rocking Met M`n Walkman,polka,41,223400,2020-03-03,,https://open.spotify.com/track/3hhMPilIUynOxLLVKYCu9N,False,https://i.scdn.co/image/ab67616d0000b2736e791937e0007d7cbbcd0c1c,NLW2R2029831
7gExwsfoDnfVyMOzOg94L1,SEMTEX,DJEZJA; Rockywhereyoubeen,SEMTEX,techengue,57,164626,2019-08-07,,https://open.spotify.com/track/7gExwsfoDnfVyMOzOg94L1,True,https://i.scdn.co/image/ab67616d0000b273d8f72cc542ef656a43b73662,NLV6L1900039
77wz2VtAwxAwYOGTJrZBKT,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak; SBMG; Boef; Lil Kleine; Ronnie Flex,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",nederpop,56,189514,2018,,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT,True,https://i.scdn.co/image/ab67616d0000b27355432f92fe75aa3466283b40,NLV6L1800041
5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental; Jess Glynne; Macklemore; Dan Caplen,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",,70,210772,2018-01-19,,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,False,https://i.scdn.co/image/ab67616d0000b273e9f49a29f00d42d7857794a5,GBAHS1701239
1LwwLjTbRO1FjKG9RcX8a2,Nightshift,Kevin,Animal Stories,,33,165365,2020-11-19,,https://open.spotify.com/track/1LwwLjTbRO1FjKG9RcX8a2,True,https://i.scdn.co/image/ab67616d0000b273676064ca998604140d708bf5,NLG662000621
