spotify_id,name,artists,album,genres,popularity,duration_ms,release_date,preview_url,track_url,explicit,album_image_url,isrc
30jAaWnKDzPLGETJwwPON6,Soy Gitano - En Directo En El Festival De Jazz De Montreux / 1991,Camaron De La Isla; Tomatito; El Pele; Moraito Chico; Charo Manzano; Tino Di Geraldo,Montreux 1991 (En Directo En El Festival De Jazz De Montreux / 1991),flamenco; flamenco pop; latin jazz,45,338070,2018-11-30,,https://open.spotify.com/track/30jAaWnKDzPLGETJwwPON6,False,https://i.scdn.co/image/ab67616d0000b27334a3598c5fcbd5f1473fb036,ES5701800943
7BXTCiQvCcfZyFtQ3hXQdh,Los Borbones Son Unos Ladrones,FRANK T; Rapsusklei; Elphomega; Sara Hebe; Def Con Dos; Tribade; La Raíz; IRA; Los Chikos del Maiz; Machete en Boca,Los Borbones Son Unos Ladrones,electrocumbia; latin hip hop; neoperreo; rap metal; ska,40,290389,2018-04-09,,https://open.spotify.com/track/7BXTCiQvCcfZyFtQ3hXQdh,False,https://i.scdn.co/image/ab67616d0000b27332c253e9595a39daf7d5180e,QM4TW1826027
1UDIdrAkJT6lUPviOKookZ,Amor i amistat,JazzWoman; ZOO; Pupil·les,Maléfica,,34,190000,2020-03-06,,https://open.spotify.com/track/1UDIdrAkJT6lUPviOKookZ,False,https://i.scdn.co/image/ab67616d0000b273854eb536364a215b0a4c74f9,ES8022000024
1DnmOR6mt0ungGVdoyxuw8,Forever Young,Jazzystics,"Jazz Sexiest Ladies, Vol. 1",bossa nova; jazz; lounge,42,259250,2018-05-11,,https://open.spotify.com/track/1DnmOR6mt0ungGVdoyxuw8,False,https://i.scdn.co/image/ab67616d0000b2730bde72e28792b59c6510bca4,ARF411701824
5HSpMRUC4m3L3q48to2Kmu,So payaso,Extremoduro,Agila,,63,281666,1996,,https://open.spotify.com/track/5HSpMRUC4m3L3q48to2Kmu,False,https://i.scdn.co/image/ab67616d0000b273489635998e8b3a9dec1ae455,ES5019614003
4z2EeFUp5Lhai9qhHtA6IF,Salir,Extremoduro,Canciones Prohibidas,,62,318986,1998-06-08,,https://open.spotify.com/track/4z2EeFUp5Lhai9qhHtA6IF,False,https://i.scdn.co/image/ab67616d0000b2730ebf207d528429be0eea1a6e,ES5019814000
42R5irny7qThOYUThAL7VW,Rojitas las orejas,Fito y Fitipaldis,A Puerta Cerrada,,57,224133,1998-10-23,,https://open.spotify.com/track/42R5irny7qThOYUThAL7VW,False,https://i.scdn.co/image/ab67616d0000b2737d659ba862e9dbe3f2fe21bd,ES5019893000
3TUmWB52jj1b8gMLjPFMYg,Melancholy,Mark Hauser,There's a Way Out,,0,222453,1994,,https://open.spotify.com/track/3TUmWB52jj1b8gMLjPFMYg,False,https://i.scdn.co/image/ab67616d0000b273069251e775ea39c1e8aeb2df,CH6540846581
49m0TeyzGMUt3ueFgmmJs6,6 Melancholy Waltzes: I. Waltz in C Minor,Marie Jaell; Alexandre Sorel,Jaëll: Piano Works,ragtime,0,88266,1998,,https://open.spotify.com/track/49m0TeyzGMUt3ueFgmmJs6,False,https://i.scdn.co/image/ab67616d0000b2737d179a1795d97b06de4024b5,FRY839710070
0hrvry7VlpNlbJvt0KG1Ja,My Melancholy Baby,Cliff Edwards,Singing in the Rain,,0,171083,1995,,https://open.spotify.com/track/0hrvry7VlpNlbJvt0KG1Ja,False,https://i.scdn.co/image/ab67616d0000b2734abcf0348211959d75f40621,US1A19501723
